Lead_ID,Restaurant_Name,City,Area,Business_Type,Outlet_Count,Public_Phone,Public_Email,Website,Social_Profile,Current_POS,Pain_Point,Decision_Maker_Status,Lead_Source,Lead_Score,Temperature,Pipeline_Stage,First_Contact_Date,Last_Contact_Date,Next_Follow_Up,Demo_Date,Trial_Start,Trial_End,Quoted_Plan,Quoted_Price,Outcome,Lost_Reason,BDE_Owner,Notes,Source_URL,Research_Date,Fit_Signals,Research_Confidence
PLN-001,Hotel Cappal,Palanpur,"NH14, Near Aroma Circle, Ahmedabad Road",Hotel Restaurant,UNKNOWN,"02742 250 777","",https://www.hotelcappal.com,"","",UNKNOWN,UNKNOWN,Google public search / official website result,34,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result describes hotel with dining; phone and official website were displayed. Outlet count not independently confirmed.",https://www.google.com/search?q=Hotel+Cappal+Palanpur,2026-09-07,"Hotel dining, accommodation, visible public business presence",HIGH
PLN-002,Hotel Lajwanti,Palanpur,"Aroma Circle / Highway",Hotel Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public search / hotel website result,34,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies hotel and its Sankalp Restaurant; outlet count not independently confirmed.",https://www.google.com/search?q=Hotel+Lajwanti+Palanpur+Sankalp+Restaurant,2026-09-07,"Hotel restaurant, dining operation",MEDIUM
PLN-003,Hotel Guptaji,Palanpur,"Near Railway Station, Bank Colony",Hotel Restaurant,UNKNOWN,"+91 98255 91916 / +91 99798 91916","","","","",UNKNOWN,UNKNOWN,Google public local result,35,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result describes pure vegetarian Punjabi dining near the railway station. Outlet count not independently confirmed.",https://www.google.com/search?q=Hotel+Guptaji+Palanpur,2026-09-07,"Dine-in, public phone, high review count",HIGH
PLN-004,Madhvi Restro,Palanpur,"Ground Floor, Sankalp Plaza, Gathaman Gate Road",Restaurant,UNKNOWN,"+91 82600 60045","","","","",UNKNOWN,UNKNOWN,Google public local result / Tripadvisor result,36,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies a vegetarian restaurant with public address and phone. Outlet count not independently confirmed.",https://www.google.com/search?q=Madhvi+Restro+Palanpur,2026-09-07,"Dine-in, menu complexity signal, public phone",HIGH
PLN-005,Kanha Garden Restaurant,Palanpur,"Ambaji Highway / Delhigate",Restaurant,UNKNOWN,"+91 89805 48980","","","","",UNKNOWN,UNKNOWN,Google public local result,36,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies dine-in restaurant on Ambaji Highway. Outlet count not independently confirmed.",https://www.google.com/search?q=Kanha+Garden+Restaurant+Palanpur,2026-09-07,"Dine-in, takeaway/delivery signal, public phone",HIGH
PLN-006,Maa Annpurna Hotel,Palanpur,"NH 27, Bihari Bag",Restaurant,UNKNOWN,"+91 99095 12201","","","","",UNKNOWN,UNKNOWN,Google public local result,34,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies Gujarati restaurant on NH 27 with public phone. Outlet count not independently confirmed.",https://www.google.com/search?q=Maa+Annpurna+Hotel+Palanpur,2026-09-07,"Dine-in, highway location, public phone",HIGH
PLN-007,Agashi Rooftop Restaurant and Cafe,Palanpur,"",Cafe,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public search / Tripadvisor result,34,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies a restaurant and cafe in Palanpur; no contact detail captured. Outlet count not independently confirmed.",https://www.google.com/search?q=Agashi+Rooftop+Restaurant+and+Cafe+Palanpur,2026-09-07,"Cafe/restaurant, dine-in, public listing",MEDIUM
PLN-008,Food Way Dhaba,Palanpur,"Gathaman Patiya, Palanpur-Ahmedabad Highway",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public local result / Justdial result,35,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result identifies dine-in, takeaway, and delivery service. Outlet count not independently confirmed.",https://www.google.com/search?q=Food+Way+Dhaba+Palanpur,2026-09-07,"Dine-in, takeaway, delivery, highway location",HIGH
PLN-009,Bansiwala Dhaba and Bansiwala Kathiyawadi,Palanpur,"",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Justdial result,31,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Named in public Palanpur restaurant directory results; details require BDE discovery. Outlet count not independently confirmed.",https://www.google.com/search?q=Bansiwala+Dhaba+Palanpur,2026-09-07,"Dhaba/Kathiyawadi operation, public directory presence",MEDIUM
PLN-010,Kargil Kathiyawadi Restaurant,Palanpur,"Near Tanu Motors, Delhigate",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Justdial result,31,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Named in public Kathiyawadi restaurant results; no public phone captured in research pass. Outlet count not independently confirmed.",https://www.google.com/search?q=Kargil+Kathiyawadi+Restaurant+Palanpur,2026-09-07,"Kathiyawadi menu, dine-in signal",MEDIUM
